food_name,serving_size,calories,protein,fat,carbohydrates,sugar,dietary_fiber,saturated_fat,trans_fat,natrium
돼지고기볶음(제육볶음),100g,195,12.15,14.19,4.73,0.38,3.6,4.18,0.06,60
떡볶이,100g,144,3.51,2.96,25.96,4.4,1.0,0.28,0.01,98
떡볶이_채소,100g,258,3.12,1.88,57.06,1.97,1.3,0.39,0.02,45
라볶이,100g,134,2.83,4.71,20.14,0.94,1.9,1.47,0.03,42
마늘쫑볶음,100g,89,3.25,2.54,13.17,5.29,4.8,0.37,0.01,111
마늘쫑볶음_멸치,100g,117,7.54,2.78,15.42,5.7,5.4,0.42,0.02,47
마파두부,100g,109,7.29,6.48,5.36,2.45,2.2,1.04,0.03,71
멸치볶음,100g,276,39.44,7.08,13.62,11.6,10.1,1.28,0.04,91
멸치볶음_견과류,100g,414,30.4,24.32,18.36,14.02,9.8,3.04,0.02,55
멸치볶음_꽈리고추,100g,253,23.62,14.08,7.96,6.24,6.0,0.16,0,144
멸치볶음_마늘쫑,100g,277,32.4,10.84,12.42,4.26,8.7,1.9,0.06,40
멸치볶음_풋고추,100g,190,20.62,6,13.3,9.02,4.8,1.3,0.04,43
문어볶음_고추장,100g,88,10.97,1.02,8.62,5.44,1.4,0.22,0.01,23
미역줄기볶음,100g,77,0.96,5.95,4.85,0.55,4.3,0.89,0.04,35
버섯볶음_느타리,100g,94,2.8,6.2,6.78,4.24,4.5,0.8,0.04,58
버섯볶음_새송이버섯,100g,121,2.95,8.03,9.29,3.75,4.1,1.51,0.08,50
브로콜리볶음,100g,51,4.42,1.28,5.53,1.42,4.5,0.22,0,40
삼겹살볶음_묵은지김치,100g,151,5.76,10.49,8.4,3.62,3.2,3.36,0.13,50
새우볶음,100g,83,9.91,2.21,5.96,3.99,1.1,0.38,0.03,69
소고기볶음_고추장,100g,197,14.36,10.79,10.7,9.7,8.8,4.28,0.1,50
소고기볶음_버섯,100g,144,11.59,7.73,6.92,2.85,5.0,2.57,0.06,37
소고기볶음_채소,100g,126,12.8,5.4,6.44,4.53,4.8,2.17,0.05,529
소시지볶음,100g,280,11.94,19.38,14.41,5.83,2.5,5.8,0.09,91
애호박볶음,100g,59,1.32,3.62,5.3,0.42,2.4,0.44,0.04,304
양파볶음,100g,56,0.99,1.54,9.51,9.15,1.6,0.11,0.01,44
어묵볶음,100g,197,8.41,7.29,24.33,6.31,2.5,1.32,0.05,60
어묵볶음_채소,100g,152,6.33,6.41,17.2,1.26,2.2,1,0.07,93
